Marca de Tiempo, Uso de Memoria (%)
13:12:42,90.1
13:12:44,89.9
13:12:45,90.0
13:12:46,90.0
13:12:47,89.9
13:12:48,89.9
13:12:49,89.7
13:12:50,89.7
13:12:51,89.7
13:12:52,89.7
13:12:53,89.5
13:12:54,89.5
13:12:55,89.4
13:12:56,89.4
13:12:57,89.4
13:12:58,89.4
13:12:59,89.4
13:13:00,89.4
13:13:01,89.4
13:13:02,89.4
13:13:03,89.4
13:13:04,89.6
13:13:05,89.6
13:13:06,89.6
13:13:07,89.6
13:13:08,89.6
13:13:09,89.6
13:13:10,89.5
13:13:11,90.0
13:13:12,90.2
13:13:13,90.5
13:13:14,90.5
13:13:15,90.6
13:13:16,90.5
13:13:17,90.3
13:13:18,90.3
13:13:19,90.3
13:13:20,90.2
13:13:21,90.4
13:13:22,90.4
13:13:23,90.4
13:13:24,90.4
13:13:25,90.4
13:13:27,90.2
13:13:28,90.3
13:13:29,90.3
13:13:30,90.0
13:13:31,90.0
13:13:32,90.0
13:13:33,90.0
13:13:34,90.0
13:13:35,90.3
13:13:36,90.5
13:13:37,90.5
13:13:38,90.5
13:13:39,90.4
13:13:40,90.5
13:13:41,90.1
13:13:42,89.9
13:13:43,89.9
13:13:44,89.9
13:13:45,89.9
13:13:46,89.9
13:13:47,89.9
13:13:48,89.9
13:13:49,89.9
13:13:50,89.9
13:13:51,89.9
13:13:52,89.9
13:13:53,89.9
13:13:54,89.9
13:13:55,89.9
13:13:56,89.9
13:13:57,89.9
13:13:58,89.9
13:13:59,89.9
13:14:00,89.9
13:14:01,89.9
13:14:02,89.9
13:14:03,89.9
13:14:04,89.9
13:14:05,89.5
13:14:06,89.6
13:14:07,89.6
13:14:08,89.5
13:14:09,89.5
13:14:10,89.7
13:14:11,89.7
13:14:12,89.7
13:14:13,89.5
13:14:14,89.6
13:14:15,89.6
13:14:16,89.6
13:14:17,89.5
13:14:18,89.5
13:14:19,89.5
13:14:20,89.5
13:14:21,89.5
13:14:22,89.5
13:14:24,89.4
13:14:25,89.5
13:14:26,89.5
13:14:27,89.5
13:14:28,89.5
13:14:29,89.5
13:14:30,89.9
13:14:31,90.0
13:14:32,90.0
13:14:33,90.0
13:14:34,89.9
13:14:35,90.0
13:14:36,89.9
13:14:37,89.9
13:14:38,89.9
13:14:39,89.9
13:14:40,89.9
13:14:41,89.9
13:14:42,89.9
13:14:43,89.9
13:14:44,90.1
13:14:45,90.2
13:14:46,90.3
13:14:47,90.3
13:14:48,90.2
13:14:49,90.2
13:14:50,90.2
13:14:51,90.2
13:14:52,90.3
13:14:53,90.4
13:14:54,90.2
13:14:55,90.1
13:14:56,90.0
13:14:57,89.9
13:14:58,89.9
13:14:59,89.9
13:15:00,89.9
13:15:01,89.9
13:15:02,89.7
13:15:03,89.7
13:15:04,89.6
13:15:05,89.6
13:15:06,89.6
13:15:07,89.6
13:15:08,89.6
13:15:09,89.6
13:15:10,89.6
13:15:11,89.6
13:15:12,89.6
13:15:13,89.6
13:15:14,89.6
13:15:15,89.7
13:15:16,89.8
13:15:17,89.8
13:15:18,89.8
13:15:19,89.7
13:15:20,89.7
13:15:21,89.7
13:15:22,89.5
13:15:23,89.5
13:15:24,89.5
13:15:25,89.5
13:15:26,89.5
13:15:27,89.4
13:15:28,89.4
13:15:29,89.4
13:15:30,89.1
13:15:31,89.1
13:15:32,89.2
13:15:33,89.3
13:15:34,89.3
13:15:35,89.6
13:15:36,89.7
13:15:37,89.7
13:15:38,89.7
13:15:39,89.7
13:15:40,90.0
13:15:41,90.3
13:15:42,90.3
13:15:43,90.3
13:15:44,90.3
13:15:45,91.2
13:15:46,91.9
13:15:47,92.0
13:15:48,92.5
13:15:49,92.7
13:15:50,93.1
13:15:51,93.1
13:15:52,93.0
13:15:53,93.0
13:15:54,92.9
13:15:55,92.9
13:15:56,92.8
13:15:57,92.8
13:15:58,92.8
13:15:59,92.9
13:16:01,92.9
13:16:02,92.9
13:16:03,92.0
13:16:04,92.1
13:16:05,92.1
13:16:06,91.9
13:16:07,91.7
13:16:08,91.8
13:16:09,91.8
13:16:10,91.8
13:16:11,91.8
13:16:12,91.7
13:16:13,91.7
13:16:14,91.7
13:16:15,92.6
13:16:16,92.8
13:16:17,92.7
13:16:18,93.0
13:16:19,92.9
13:16:20,93.0
13:16:21,94.1
13:16:22,94.0
13:16:23,94.0
13:16:24,93.8
13:16:25,93.9
13:16:26,94.4
13:16:27,93.1
13:16:28,93.4
13:16:29,93.4
13:16:30,93.4
13:16:31,92.3
13:16:32,91.5
13:16:33,89.9
13:16:34,89.7
13:16:35,88.3
13:16:36,87.3
13:16:37,87.2
13:16:38,87.4
13:16:39,87.4
13:16:40,87.3
13:16:41,87.3
13:16:42,87.1
13:16:43,87.1
13:16:44,87.0
13:16:45,87.2
13:16:46,87.2
13:16:47,87.1
13:16:48,87.1
13:16:49,87.1
13:16:50,87.0
13:16:51,85.2
13:16:52,85.3
13:16:53,85.2
13:16:54,82.1
13:16:55,81.9
13:16:56,81.9
13:16:57,81.9
13:16:58,81.0
13:16:59,81.0
13:17:00,81.0
13:17:01,81.1
13:17:02,80.9
13:17:03,81.0
13:17:04,80.9
13:17:05,80.9
13:17:06,80.9
13:17:07,80.9
13:17:08,80.8
13:17:09,80.7
13:17:10,81.3
13:17:11,81.3
13:17:12,81.3
13:17:13,81.3
13:17:14,81.5
13:17:15,81.8
13:17:16,81.8
13:17:17,81.8
13:17:18,81.8
13:17:19,81.7
13:17:20,81.6
13:17:21,81.6
13:17:22,81.6
13:17:23,81.5
13:17:24,81.5
13:17:25,81.4
13:17:26,81.3
13:17:27,81.3
13:17:28,81.5
13:17:29,81.5
13:17:30,81.5
13:17:31,81.5
13:17:32,81.4
13:17:33,81.4
13:17:34,81.4
13:17:35,81.4
13:17:36,81.3
13:17:37,81.3
13:17:39,81.3
13:17:40,81.3
13:17:41,81.0
13:17:42,81.0
